,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,1,session_1,0.0,0.0,0.0025000000000000022,0.0001945754573733473,12000,1
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,2,session_1,0.0022222222222222365,0.003333333333333327,0.005555555555555564,0.0023195098978342995,12000,1
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,3,session_1,0.00888888888888889,0.01222222222222219,0.013333333333333308,0.01000249999999898,12000,1
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,4,session_1,0.0,0.0,0.0,1e-05,12000,1
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,5,session_1,0.007777777777777772,0.015555555555555545,0.02999999999999997,0.008612607758620926,12000,1
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,6,session_1,0.026666666666666672,0.09666666666666665,0.12,0.011918588897624836,12000,1
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,7,session_1,0.23555555555555555,0.31999999999999995,0.3655555555555555,0.05734208496983165,12000,1
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,8,session_1,0.0111111111111111,0.07,0.15333333333333332,0.011481681034482629,12000,1
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,9,session_1,0.0,0.0022222222222222088,0.0022222222222222088,0.0011175135696040864,12000,1
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,10,session_1,0.0,0.0,0.0,1e-05,12000,1
10,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,11,session_1,0.0111111111111111,0.041111111111111126,0.07111111111111112,0.009724816411239002,12000,1
11,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,12,session_1,0.25011487701083907,0.3393448210344173,0.37215670432566395,0.09749979561216325,12000,1
12,Single Session,Open Set,Spot Pilot P300 dataset,AR+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000,1
13,Single Session,Open Set,Spot Pilot P300 dataset,AR+LR,1,session_1,0.0,0.0050000000000000044,0.008333333333333331,0.001210279134103247,12000,1
14,Single Session,Open Set,Spot Pilot P300 dataset,AR+LR,2,session_1,0.003333333333333327,0.011111111111111072,0.015555555555555545,0.004381507964524755,12000,1
